ticker,expiry,strike,mid_call,mid_put,lhs,rhs,parity_gap
SPY,2026-12-18,540.0,243.295,1.665,241.63,240.7785227875586,0.8514772124414094
SPY,2026-12-18,545.0,238.44,1.74,236.7,235.84363228794257,0.8563677120574198
SPY,2026-12-18,550.0,233.585,1.82,231.76500000000001,230.90874178832655,0.8562582116734632
SPY,2026-12-18,555.0,228.74,1.905,226.835,225.97385128871053,0.8611487112894736
SPY,2026-12-18,560.0,223.89,1.99,221.89999999999998,221.0389607890944,0.8610392109055738
SPY,2026-12-18,565.0,219.05,2.085,216.965,216.1040702894784,0.8609297105216172
SPY,2026-12-18,570.0,214.215,2.18,212.035,211.16917978986237,0.8658202101376276
SPY,2026-12-18,575.0,209.39,2.28,207.10999999999999,206.23428929024635,0.8757107097536334
SPY,2026-12-18,580.0,204.565,2.39,202.175,201.29939879063033,0.8756012093696768
SPY,2026-12-18,585.0,199.75,2.51,197.24,196.36450829101432,0.8754917089856917
SPY,2026-12-18,590.0,194.935,2.63,192.305,191.4296177913983,0.8753822086017067
SPY,2026-12-18,595.0,190.135,2.76,187.375,186.49472729178228,0.8802727082177171
SPY,2026-12-18,600.0,185.335,2.89,182.44500000000002,181.55983679216627,0.8851632078337559
SPY,2026-12-18,605.0,180.545,3.04,177.505,176.62494629255025,0.880053707449747
SPY,2026-12-18,610.0,175.765,3.1900000000000004,172.575,171.69005579293423,0.8849442070657574
SPY,2026-12-18,615.0,170.995,3.3600000000000003,167.635,166.7551652933182,0.8798347066817769
